"setting","simulation","Bayesian_epsilon","Bayesian_CI_upper","Bayesian_coverage","Bayesian_power","frequentist_epsilon","frequentist_CI_upper","frequentist_coverage","frequentist_power","n_sample","n_chains","n_iterations","n_simulations","BF_alternative","timestamp","seed"
1,36,0.314966152926433,0.02,TRUE,TRUE,0.265960233576375,0.257139133022704,TRUE,TRUE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,36,0.301206152926433,0.08,TRUE,TRUE,0.257553544614122,0.619594604010641,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,37,0.313019486259767,0.0600000000000001,TRUE,TRUE,0.267293804354382,0.388024485840801,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,37,0.305366152926434,0.0600000000000001,TRUE,TRUE,0.256926514681303,0.503203105549053,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,38,0.314379486259767,0.04,TRUE,TRUE,0.259349338053149,0.35343702854529,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,38,0.280006152926433,0.04,TRUE,TRUE,0.254367245819795,0.453610056235931,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,39,0.3146728195931,0.04,TRUE,TRUE,0.265960233576375,0.47890880142937,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,39,0.2736328195931,0.04,TRUE,TRUE,0.232805787048081,0.440743741511583,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,40,0.314539486259767,0.02,TRUE,TRUE,0.268232518126986,0.471467683146144,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,40,0.227606152926433,0.02,TRUE,TRUE,0.205605492666071,0.566252077659926,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,41,0.314939486259767,0.04,TRUE,TRUE,0.268232518126986,0.28352142355551,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,41,0.295126152926434,0.02,TRUE,TRUE,0.255969809922359,0.569367328720556,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,42,0.314379486259767,0.02,TRUE,TRUE,0.265960233576375,0.214673541847125,FALSE,TRUE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,42,0.306166152926433,0.04,TRUE,TRUE,0.268790322742872,0.372845808112981,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,43,0.3133128195931,0.04,TRUE,TRUE,0.268232518126986,0.321824154780672,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,43,0.3113928195931,0.02,TRUE,TRUE,0.262019893289113,0.452120195737749,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,44,0.3146728195931,0.0600000000000001,TRUE,TRUE,0.259349338053149,0.349740635897517,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,44,0.300086152926433,0.0599999999999999,TRUE,TRUE,0.254465980702812,0.541374815388361,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
1,45,0.3083528195931,0.08,TRUE,TRUE,0.266622212168854,0.391635320739587,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
2,45,0.296619486259767,0.04,TRUE,TRUE,0.265775364531023,0.569906369637717,TRUE,FALSE,50,2,500,50,"greater","2026-04-29 01:38:29",124
